SubType,Rent,Rooms,Area_m2,Zip,Lat,Lon,Floor,Year_Built,is_renovated,Balcony,Elevator,Parking,View,Fireplace,Child_Friendly,CableTV,New_Building,Minergie,Wheelchair
FLAT,1800.0,4.5,95.0,8246,47.685355894371,8.654401736281,4.0,1970.0,1,0,0,1,0,0,0,1,0,0,0
FLAT,1892.0,2.5,57.0,8952,47.400974894371,8.440461734286,7.0,2013.0,0,0,1,1,0,0,1,1,0,1,0
FLAT,1989.0,3.0,67.0,8953,47.407154893371,8.392021734285,2.0,1958.0,1,1,0,0,0,0,0,0,0,0,0
FLAT,1790.0,2.0,56.0,8105,47.428004895373,8.474781735282,3.0,1974.0,1,1,1,1,0,0,1,1,0,0,0
FLAT,1900.0,3.5,76.0,8820,47.220844895373,8.671491738288,4.0,1967.0,1,1,1,1,0,0,1,1,0,0,0
FLAT,1485.0,1.0,39.0,8400,47.489574894372,8.733311734286,2.0,1965.0,1,0,0,0,0,0,0,0,0,0,0
SINGLE_ROOM,1390.0,1.0,90.0,8053,47.357604899377,8.599311735283,1.0,1964.0,0,1,0,1,1,0,0,0,0,0,0
SINGLE_ROOM,1690.0,1.0,100.0,8053,47.357604899377,8.599311735283,0.0,1964.0,0,1,0,1,1,0,0,0,0,0,1
SINGLE_ROOM,1390.0,1.0,90.0,8053,47.357604899377,8.599311735283,1.0,1964.0,0,1,0,1,1,0,0,0,0,0,0
FLAT,1885.0,4.5,90.0,8108,47.440697893379,8.436041734284,3.0,1976.0,1,1,1,1,0,0,1,1,0,0,0
FLAT,1850.0,2.5,59.0,8610,47.351304894371,8.703581734284,0.0,1982.0,0,0,1,1,0,0,1,1,0,0,0
FLAT,1850.0,2.5,57.0,8610,47.351219895373,8.703121739289,1.0,1982.0,0,0,1,1,0,0,1,1,0,0,0
FLAT,1940.0,2.0,48.0,8049,47.403775899377,8.489191735283,1.0,1949.0,0,0,0,1,0,0,1,1,0,0,0
SINGLE_ROOM,1690.0,1.0,90.0,8053,47.357604899377,8.599311735283,1.0,1964.0,0,1,0,1,1,0,0,0,0,0,0
SINGLE_ROOM,1390.0,1.0,90.0,8053,47.357604899377,8.599311735283,1.0,1964.0,0,1,0,1,0,0,0,0,0,0,0
FLAT,1640.0,3.0,62.0,8630,47.265525894372,8.866621737285,2.0,1996.0,0,0,0,0,0,0,0,0,0,0,0
FLAT,1970.0,3.0,80.0,8053,47.357320890378,8.590281734289,2.0,1965.0,1,0,0,0,0,0,0,0,0,0,0
FLAT,1582.0,1.5,52.0,8910,47.273674898376,8.444431734281,5.0,1996.0,0,0,1,1,0,0,0,1,1,1,0
FLAT,1449.0,1.5,43.0,8910,47.273674898376,8.444431734281,4.0,1996.0,0,0,1,1,0,0,0,0,1,1,0
SINGLE_ROOM,1190.0,1.0,16.0,8400,47.507184893379,8.725641734287,1.0,1996.0,0,1,0,0,0,0,0,0,0,0,0
FLAT,1580.0,4.0,66.0,8052,47.424056899377,8.536811734287,3.0,1996.0,0,1,0,0,0,0,0,0,0,0,0
SINGLE_ROOM,1290.0,1.0,15.0,8048,47.386265890378,8.475331734285,0.0,1996.0,0,0,0,0,0,0,0,0,0,0,0
FLAT,1749.0,4.0,100.0,8618,47.272114897375,8.721301733287,3.0,1966.0,0,1,0,0,0,0,0,0,0,0,0
FLAT,1960.0,2.5,69.0,8104,47.418780890378,8.436721734288,3.0,2015.0,0,0,1,1,0,0,0,1,0,0,0
OTHER_TYPE,320.0,1.0,18.0,8352,47.494884890378,8.802101734284,0.0,2024.0,0,0,1,1,0,0,0,0,0,0,1
FLAT,1165.0,1.0,30.0,8047,47.375094898376,8.490701734281,2.0,1972.0,1,0,0,1,0,0,0,1,0,0,0
FLAT,1500.0,2.5,60.0,8006,47.386393893379,8.545011734286,5.0,1996.0,0,1,1,1,0,0,0,1,0,0,0
FLAT,1810.0,2.5,61.0,8623,47.328724896374,8.810141735287,3.0,1996.0,0,0,1,1,0,0,1,0,1,0,0
FLAT,1895.0,3.5,78.0,8623,47.328544894372,8.809251735286,0.0,1996.0,0,0,0,1,0,0,0,0,0,0,0
FLAT,1990.0,3.0,60.0,8953,47.406750890378,8.401501734282,2.0,1996.0,0,1,0,1,1,0,1,0,0,0,0
FLAT,1690.0,2.0,53.0,8052,47.430515893371,8.542001735281,2.0,1968.0,1,0,1,1,0,0,0,1,0,0,0
FLAT,1905.0,4.5,82.0,8952,47.395064895373,8.432691734281,2.0,1982.0,1,0,1,1,0,1,0,1,0,0,0
FLAT,1810.0,1.0,37.0,8003,47.368869894372,8.519861734286,1.0,1939.0,1,0,1,0,0,0,0,1,0,0,0
FLAT,892.0,1.5,18.0,8636,47.278324898376,8.913731734284,1.0,1996.0,0,0,0,1,0,0,0,1,0,0,0
FLAT,1505.0,2.5,54.0,8548,47.565139893371,8.827781738282,2.0,1996.0,0,1,1,0,0,0,0,0,0,0,0
FLAT,1800.0,4.5,98.0,8245,47.688065893379,8.649931734287,3.0,1996.0,0,1,1,1,0,0,1,0,0,0,0
FLAT,1836.0,2.5,51.0,8105,47.437564896374,8.472551736287,2.0,1996.0,0,1,1,0,1,0,0,0,0,0,0
FLAT,1744.0,2.5,47.0,8105,47.437224899377,8.472181734288,5.0,1996.0,0,1,1,0,1,0,0,0,0,0,0
FLAT,1760.0,1.5,27.0,8004,47.377024890378,8.526951734286,5.0,1996.0,0,0,0,0,0,0,0,0,0,0,0
FLAT,1940.0,3.5,86.0,8185,47.493134899377,8.549611733289,1.0,1994.0,1,0,0,1,0,0,0,0,0,0,0
